band,scale_range_km,component,power_ratio_mean,power_ratio_std,pattern_corr_mean,pattern_corr_std,displacement_magnitude_km_mean,displacement_magnitude_km_std,error_reduction_fraction_mean,error_reduction_fraction_std,phase_fraction_fourier_mean,phase_fraction_fourier_std,systematic_fraction,mean_shift_km_dx,mean_shift_km_dy
4,>63,v,0.923144,0.133548,0.903628,0.139037,95.9598,33.0919,0.661581,0.136549,0.465162,0.172134,0.0254616,-15.4916,4.72777
4,>63,u,0.966027,0.181199,0.890057,0.153431,99.8897,34.1562,0.655668,0.130869,0.470904,0.176791,0.0977842,-18.8872,27.0747
3,32-63,v,0.960105,0.205644,0.551117,0.242107,74.216,37.6995,0.476122,0.138494,0.663117,0.100494,0.0371276,-7.3932,14.234
3,32-63,u,0.98665,0.248313,0.551013,0.235288,70.8209,38.933,0.433013,0.143213,0.642801,0.0931629,0.0389777,-3.32736,15.6047
2,16-32,v,0.967787,0.17079,0.396005,0.21208,46.0325,19.0704,0.477042,0.107288,0.685205,0.0705484,0.000863405,-0.46251,1.38911
2,16-32,u,0.987526,0.194125,0.416099,0.187945,44.8767,19.6298,0.450229,0.11055,0.671551,0.0632881,0.00358824,0.43848,2.90117
1,8-16,v,0.973383,0.173102,0.385149,0.185428,23.3245,10.3096,0.412938,0.0768076,0.671513,0.0549146,0.000414687,0.237139,0.462001
1,8-16,u,0.978178,0.181705,0.403906,0.166519,22.5256,10.5009,0.384592,0.0765304,0.664282,0.0515946,0.000743036,0.398123,0.548134
0,0-8,v,1.03189,0.275535,0.504088,0.199014,9.46045,8.85714,0.169218,0.0670231,0.600396,0.0815043,0.000297637,0.101833,0.199042
0,0-8,u,1.04061,0.29551,0.496478,0.186983,9.24726,8.75422,0.16671,0.065646,0.604015,0.0804635,0.00143205,0.218233,0.429627
