band,band_label,component,metric,field,mean,se,n_events
0,6-25km,u,freq_l1,bicubic,0.2528418004512787,0.006635113805532456,100
0,6-25km,u,freq_l1,enscgp_mean,0.2991275489330292,0.005847909674048424,100
0,6-25km,u,freq_l1,swin_q50,0.36554744839668274,0.005905993655323983,100
0,6-25km,u,freq_l1_unweighted,bicubic,0.5513224601745605,0.016653400659561158,100
0,6-25km,u,freq_l1_unweighted,enscgp_mean,0.5067339539527893,0.01025928407907486,100
0,6-25km,u,freq_l1_unweighted,swin_q50,0.5533922910690308,0.008932842314243317,100
0,6-25km,u,swd,bicubic,0.3098405955731869,0.01186707521493955,100
0,6-25km,u,swd,enscgp_mean,0.13811844535171985,0.007251475208212924,100
0,6-25km,u,swd,swin_q50,0.06636992106214165,0.004632152332430934,100
0,6-25km,u,melr,bicubic,-0.43877112865448,0.024943387508392333,100
0,6-25km,u,melr,enscgp_mean,-0.26180607080459595,0.015877626836299896,100
0,6-25km,u,melr,swin_q50,-0.07033008337020874,0.013201338052749634,100
0,6-25km,v,freq_l1,bicubic,0.25969237089157104,0.006026864796876907,100
0,6-25km,v,freq_l1,enscgp_mean,0.3024286925792694,0.005303889513015747,100
0,6-25km,v,freq_l1,swin_q50,0.3701745867729187,0.005418511852622032,100
0,6-25km,v,freq_l1_unweighted,bicubic,0.5651276707649231,0.014955227077007294,100
0,6-25km,v,freq_l1_unweighted,enscgp_mean,0.5094111561775208,0.00918087363243103,100
0,6-25km,v,freq_l1_unweighted,swin_q50,0.5588725209236145,0.008671322464942932,100
0,6-25km,v,swd,bicubic,0.34894110962748526,0.010940850479759644,100
0,6-25km,v,swd,enscgp_mean,0.15652034252882005,0.00708093056469455,100
0,6-25km,v,swd,swin_q50,0.06831914266571402,0.004211644340967257,100
0,6-25km,v,melr,bicubic,-0.44078513979911804,0.01790408343076706,100
0,6-25km,v,melr,enscgp_mean,-0.27870574593544006,0.0143164724111557,100
0,6-25km,v,melr,swin_q50,-0.061491817235946655,0.011289110779762268,100
1,28-86km,u,freq_l1,bicubic,0.4039479196071625,0.008708181232213974,100
1,28-86km,u,freq_l1,enscgp_mean,0.41460761427879333,0.007408370077610016,100
1,28-86km,u,freq_l1,swin_q50,0.5069233775138855,0.007679695636034012,100
1,28-86km,u,freq_l1_unweighted,bicubic,0.6752164959907532,0.015052114427089692,100
1,28-86km,u,freq_l1_unweighted,enscgp_mean,0.6293931007385254,0.011980063468217849,100
1,28-86km,u,freq_l1_unweighted,swin_q50,0.6991641521453857,0.011221211403608322,100
1,28-86km,u,swd,bicubic,0.137665523737669,0.004771343187557262,100
1,28-86km,u,swd,enscgp_mean,0.09102181479334831,0.003752742458678483,100
1,28-86km,u,swd,swin_q50,0.03510906097479165,0.002095699497665234,100
1,28-86km,u,melr,bicubic,-0.30073997378349304,0.016496501863002777,100
1,28-86km,u,melr,enscgp_mean,-0.29208141565322876,0.014560079574584961,100
1,28-86km,u,melr,swin_q50,-0.07579576224088669,0.011117728054523468,100
1,28-86km,v,freq_l1,bicubic,0.40655285120010376,0.00794565975666046,100
1,28-86km,v,freq_l1,enscgp_mean,0.4101390540599823,0.00677117109298706,100
1,28-86km,v,freq_l1,swin_q50,0.5049528479576111,0.00751214474439621,100
1,28-86km,v,freq_l1_unweighted,bicubic,0.6854879260063171,0.014321143925189971,100
1,28-86km,v,freq_l1_unweighted,enscgp_mean,0.631269097328186,0.011867278069257737,100
1,28-86km,v,freq_l1_unweighted,swin_q50,0.7079625129699707,0.01228216513991356,100
1,28-86km,v,swd,bicubic,0.14722403049468993,0.0038756107930079677,100
1,28-86km,v,swd,enscgp_mean,0.0974394684843719,0.003780570483789999,100
1,28-86km,v,swd,swin_q50,0.035238759564235805,0.0019101216725347027,100
1,28-86km,v,melr,bicubic,-0.30363279581069946,0.013239510357379913,100
1,28-86km,v,melr,enscgp_mean,-0.3087586760520935,0.01511915773153305,100
1,28-86km,v,melr,swin_q50,-0.057251833379268646,0.010667411237955093,100
2,57-175km,u,freq_l1,bicubic,0.4870380163192749,0.00993589460849762,100
2,57-175km,u,freq_l1,enscgp_mean,0.44353798031806946,0.007884740084409713,100
2,57-175km,u,freq_l1,swin_q50,0.507759690284729,0.00863286405801773,100
2,57-175km,u,freq_l1_unweighted,bicubic,0.681007981300354,0.014614561200141906,100
2,57-175km,u,freq_l1_unweighted,enscgp_mean,0.6369314193725586,0.01360114961862564,100
2,57-175km,u,freq_l1_unweighted,swin_q50,0.6742923259735107,0.01294957399368286,100
2,57-175km,u,swd,bicubic,0.09113857503980398,0.004601008794239642,100
2,57-175km,u,swd,enscgp_mean,0.10877345802262425,0.005554388434499918,100
2,57-175km,u,swd,swin_q50,0.048519091373309495,0.00300572136270791,100
2,57-175km,u,melr,bicubic,-0.11502870917320251,0.013535495102405547,100
2,57-175km,u,melr,enscgp_mean,-0.261980265378952,0.015106137096881866,100
2,57-175km,u,melr,swin_q50,-0.05337563902139664,0.011820389330387116,100
2,57-175km,v,freq_l1,bicubic,0.4824961721897125,0.009176599979400634,100
2,57-175km,v,freq_l1,enscgp_mean,0.4317720830440521,0.007248011976480484,100
2,57-175km,v,freq_l1,swin_q50,0.500649094581604,0.008516975492238999,100
2,57-175km,v,freq_l1_unweighted,bicubic,0.6851781606674194,0.015179331600666045,100
2,57-175km,v,freq_l1_unweighted,enscgp_mean,0.6337140798568726,0.013601751625537872,100
2,57-175km,v,freq_l1_unweighted,swin_q50,0.6848176717758179,0.014908647537231446,100
2,57-175km,v,swd,bicubic,0.0955816738307476,0.0035125898190370166,100
2,57-175km,v,swd,enscgp_mean,0.1209883719496429,0.005579123674015555,100
2,57-175km,v,swd,swin_q50,0.04929836969822645,0.002512707515864633,100
2,57-175km,v,melr,bicubic,-0.12577494978904724,0.01140313670039177,100
2,57-175km,v,melr,enscgp_mean,-0.28545063734054565,0.016371867060661315,100
2,57-175km,v,melr,swin_q50,-0.04220188781619072,0.010953810065984726,100
3,114-359km,u,freq_l1,bicubic,0.47350260615348816,0.011099450290203094,100
3,114-359km,u,freq_l1,enscgp_mean,0.41492995619773865,0.008542216569185256,100
3,114-359km,u,freq_l1,swin_q50,0.4328765869140625,0.009300222992897034,100
3,114-359km,u,freq_l1_unweighted,bicubic,0.5915876626968384,0.015323995053768158,100
3,114-359km,u,freq_l1_unweighted,enscgp_mean,0.5604007840156555,0.014781107008457185,100
3,114-359km,u,freq_l1_unweighted,swin_q50,0.542705774307251,0.013837194442749024,100
3,114-359km,u,swd,bicubic,0.09244265975430607,0.006886544179607397,100
3,114-359km,u,swd,enscgp_mean,0.13802309054881334,0.009099329605489623,100
3,114-359km,u,swd,swin_q50,0.08312552304938435,0.0058164797377621355,100
3,114-359km,u,melr,bicubic,-0.007113045547157526,0.014975279569625854,100
3,114-359km,u,melr,enscgp_mean,-0.21540452539920807,0.016615261137485505,100
3,114-359km,u,melr,swin_q50,-0.036446407437324524,0.013865062594413757,100
3,114-359km,v,freq_l1,bicubic,0.46310368180274963,0.010462304204702377,100
3,114-359km,v,freq_l1,enscgp_mean,0.40666675567626953,0.008096190541982651,100
3,114-359km,v,freq_l1,swin_q50,0.42512843012809753,0.008988953381776809,100
3,114-359km,v,freq_l1_unweighted,bicubic,0.580091118812561,0.01566337198019028,100
3,114-359km,v,freq_l1_unweighted,enscgp_mean,0.5477888584136963,0.013348771631717682,100
3,114-359km,v,freq_l1_unweighted,swin_q50,0.5401794910430908,0.014832241833209992,100
3,114-359km,v,swd,bicubic,0.08998483531177044,0.004472738356592213,100
3,114-359km,v,swd,enscgp_mean,0.15098866019397975,0.007827345314872428,100
3,114-359km,v,swd,swin_q50,0.08078561589121819,0.004367478082311506,100
3,114-359km,v,melr,bicubic,-0.023078978061676025,0.012072738260030746,100
3,114-359km,v,melr,enscgp_mean,-0.22242435812950134,0.01639370173215866,100
3,114-359km,v,melr,swin_q50,-0.03756667673587799,0.0118099145591259,100
4,>325km,u,freq_l1,bicubic,0.17979969084262848,0.006264431774616242,100
4,>325km,u,freq_l1,enscgp_mean,0.17652206122875214,0.005862950906157493,100
4,>325km,u,freq_l1,swin_q50,0.15131188929080963,0.005504816770553589,100
4,>325km,u,freq_l1_unweighted,bicubic,0.20529426634311676,0.0071428179740905765,100
4,>325km,u,freq_l1_unweighted,enscgp_mean,0.21005630493164062,0.007641845196485519,100
4,>325km,u,freq_l1_unweighted,swin_q50,0.17790065705776215,0.006988126784563065,100
4,>325km,u,swd,bicubic,0.5699271918833255,0.03145975904639844,100
4,>325km,u,swd,enscgp_mean,0.5921174897253514,0.03528076220742083,100
4,>325km,u,swd,swin_q50,0.4579593564011157,0.03128003255002793,100
4,>325km,u,melr,bicubic,0.01626500114798546,0.018352662026882172,100
