event_id,band,band_label,component,variant,metric,value
387,0,6-25km,u,shift_2px,freq_l1,0.403114914894104
387,0,6-25km,u,shift_2px,freq_l1_unweighted,0.7862354516983032
387,0,6-25km,u,shift_2px,melr,4.530044250827814e-08
387,0,6-25km,u,shift_2px,swd,0.056276459246873856
387,0,6-25km,v,shift_2px,freq_l1,0.6984091997146606
387,0,6-25km,v,shift_2px,freq_l1_unweighted,1.4391199350357056
387,0,6-25km,v,shift_2px,melr,1.2942983573793754e-08
387,0,6-25km,v,shift_2px,swd,0.07590698450803757
387,1,28-86km,u,shift_2px,freq_l1,0.39381226897239685
387,1,28-86km,u,shift_2px,freq_l1_unweighted,0.5932539105415344
387,1,28-86km,u,shift_2px,melr,3.882895072138126e-08
387,1,28-86km,u,shift_2px,swd,0.019431794062256813
387,1,28-86km,v,shift_2px,freq_l1,0.6555635333061218
387,1,28-86km,v,shift_2px,freq_l1_unweighted,0.958297610282898
387,1,28-86km,v,shift_2px,melr,6.471491786896877e-09
387,1,28-86km,v,shift_2px,swd,0.02084101177752018
387,2,57-175km,u,shift_2px,freq_l1,0.25341737270355225
387,2,57-175km,u,shift_2px,freq_l1_unweighted,0.3383709490299225
387,2,57-175km,u,shift_2px,melr,-1.617873301995587e-08
387,2,57-175km,u,shift_2px,swd,0.014256310649216175
387,2,57-175km,v,shift_2px,freq_l1,0.4035325348377228
387,2,57-175km,v,shift_2px,freq_l1_unweighted,0.50834721326828
387,2,57-175km,v,shift_2px,melr,-6.4714931191645064e-09
387,2,57-175km,v,shift_2px,swd,0.019012123346328735
387,3,114-359km,u,shift_2px,freq_l1,0.12650546431541443
387,3,114-359km,u,shift_2px,freq_l1_unweighted,0.15371766686439514
387,3,114-359km,u,shift_2px,melr,-1.3322676295501878e-15
387,3,114-359km,u,shift_2px,swd,0.00795504916459322
387,3,114-359km,v,shift_2px,freq_l1,0.24693697690963745
387,3,114-359km,v,shift_2px,freq_l1_unweighted,0.26686039566993713
387,3,114-359km,v,shift_2px,melr,-1.3322676295501878e-15
387,3,114-359km,v,shift_2px,swd,0.01033015362918377
387,4,>325km,u,shift_2px,freq_l1,0.025010477751493454
387,4,>325km,u,shift_2px,freq_l1_unweighted,0.028915468603372574
387,4,>325km,u,shift_2px,melr,1.941447358433379e-08
387,4,>325km,u,shift_2px,swd,0.009017417207360268
387,4,>325km,v,shift_2px,freq_l1,0.052156709134578705
387,4,>325km,v,shift_2px,freq_l1_unweighted,0.06437503546476364
387,4,>325km,v,shift_2px,melr,-3.552713678800501e-15
387,4,>325km,v,shift_2px,swd,0.013150508515536785
387,0,6-25km,u,shift_3px,freq_l1,0.4606711268424988
387,0,6-25km,u,shift_3px,freq_l1_unweighted,0.8465777635574341
387,0,6-25km,u,shift_3px,melr,3.5593203051575983e-08
387,0,6-25km,u,shift_3px,swd,0.050858333706855774
387,0,6-25km,v,shift_3px,freq_l1,0.781038224697113
387,0,6-25km,v,shift_3px,freq_l1_unweighted,1.4974708557128906
387,0,6-25km,v,shift_3px,melr,1.2942983573793754e-08
387,0,6-25km,v,shift_3px,swd,0.06837515532970428
387,1,28-86km,u,shift_3px,freq_l1,0.5158131718635559
387,1,28-86km,u,shift_3px,freq_l1_unweighted,0.8160807490348816
387,1,28-86km,u,shift_3px,melr,2.265022125413907e-08
387,1,28-86km,u,shift_3px,swd,0.027644667774438858
387,1,28-86km,v,shift_3px,freq_l1,0.8397946357727051
387,1,28-86km,v,shift_3px,freq_l1_unweighted,1.305396556854248
387,1,28-86km,v,shift_3px,melr,-1.2942986238329013e-08
387,1,28-86km,v,shift_3px,swd,0.02762497402727604
387,2,57-175km,u,shift_3px,freq_l1,0.365102618932724
387,2,57-175km,u,shift_3px,freq_l1_unweighted,0.4961027503013611
387,2,57-175km,u,shift_3px,melr,-2.2650226583209587e-08
387,2,57-175km,u,shift_3px,swd,0.01673497073352337
387,2,57-175km,v,shift_3px,freq_l1,0.5783511400222778
387,2,57-175km,v,shift_3px,freq_l1_unweighted,0.74428391456604
387,2,57-175km,v,shift_3px,melr,-1.2942986238329013e-08
387,2,57-175km,v,shift_3px,swd,0.019576378166675568
387,3,114-359km,u,shift_3px,freq_l1,0.18837079405784607
387,3,114-359km,u,shift_3px,freq_l1_unweighted,0.22921161353588104
387,3,114-359km,u,shift_3px,melr,-6.471494451432136e-09
387,3,114-359km,u,shift_3px,swd,0.010335174389183521
387,3,114-359km,v,shift_3px,freq_l1,0.3656289279460907
387,3,114-359km,v,shift_3px,freq_l1_unweighted,0.3981249928474426
387,3,114-359km,v,shift_3px,melr,-6.4714931191645064e-09
387,3,114-359km,v,shift_3px,swd,0.014566415920853615
387,4,>325km,u,shift_3px,freq_l1,0.0374922938644886
387,4,>325km,u,shift_3px,freq_l1_unweighted,0.04334454983472824
387,4,>325km,u,shift_3px,melr,-6.471494451432136e-09
387,4,>325km,u,shift_3px,swd,0.01207479927688837
387,4,>325km,v,shift_3px,freq_l1,0.07844336330890656
387,4,>325km,v,shift_3px,freq_l1_unweighted,0.09648174047470093
387,4,>325km,v,shift_3px,melr,-9.707239456702155e-09
387,4,>325km,v,shift_3px,swd,0.01681067980825901
387,0,6-25km,u,blur_sigma0.5,freq_l1,0.03663274645805359
387,0,6-25km,u,blur_sigma0.5,freq_l1_unweighted,0.06796940416097641
387,0,6-25km,u,blur_sigma0.5,melr,-0.0597207136452198
387,0,6-25km,u,blur_sigma0.5,swd,0.038661181926727295
387,0,6-25km,v,blur_sigma0.5,freq_l1,0.06373149156570435
387,0,6-25km,v,blur_sigma0.5,freq_l1_unweighted,0.14308662712574005
387,0,6-25km,v,blur_sigma0.5,melr,-0.10568961501121521
387,0,6-25km,v,blur_sigma0.5,swd,0.09646812826395035
387,1,28-86km,u,blur_sigma0.5,freq_l1,0.009931089356541634
387,1,28-86km,u,blur_sigma0.5,freq_l1_unweighted,0.015002009458839893
387,1,28-86km,u,blur_sigma0.5,melr,-0.009945412166416645
387,1,28-86km,u,blur_sigma0.5,swd,0.004155091941356659
387,1,28-86km,v,blur_sigma0.5,freq_l1,0.016914844512939453
387,1,28-86km,v,blur_sigma0.5,freq_l1_unweighted,0.02692326530814171
387,1,28-86km,v,blur_sigma0.5,melr,-0.014260590076446533
387,1,28-86km,v,blur_sigma0.5,swd,0.008539118804037571
387,2,57-175km,u,blur_sigma0.5,freq_l1,0.0028357463888823986
387,2,57-175km,u,blur_sigma0.5,freq_l1_unweighted,0.003919061738997698
387,2,57-175km,u,blur_sigma0.5,melr,-0.002379977609962225
387,2,57-175km,u,blur_sigma0.5,swd,0.0012950293021276593
387,2,57-175km,v,blur_sigma0.5,freq_l1,0.004606921691447496
387,2,57-175km,v,blur_sigma0.5,freq_l1_unweighted,0.0062639182433485985
387,2,57-175km,v,blur_sigma0.5,melr,-0.002838277257978916
387,2,57-175km,v,blur_sigma0.5,swd,0.0021689182613044977
387,3,114-359km,u,blur_sigma0.5,freq_l1,0.0007042077486403286
387,3,114-359km,u,blur_sigma0.5,freq_l1_unweighted,0.0008939958061091602
387,3,114-359km,u,blur_sigma0.5,melr,-0.0005603036261163652
387,3,114-359km,u,blur_sigma0.5,swd,0.00037737353704869747
387,3,114-359km,v,blur_sigma0.5,freq_l1,0.0011064481223002076
387,3,114-359km,v,blur_sigma0.5,freq_l1_unweighted,0.0014031738974153996
387,3,114-359km,v,blur_sigma0.5,melr,-0.0006350223557092249
387,3,114-359km,v,blur_sigma0.5,swd,0.0006646304973401129
387,4,>325km,u,blur_sigma0.5,freq_l1,6.23498999630101e-05
387,4,>325km,u,blur_sigma0.5,freq_l1_unweighted,7.060398638714105e-05
387,4,>325km,u,blur_sigma0.5,melr,-7.07881772541441e-05
387,4,>325km,u,blur_sigma0.5,swd,0.0002692477428354323
387,4,>325km,v,blur_sigma0.5,freq_l1,0.0001113001344492659
387,4,>325km,v,blur_sigma0.5,freq_l1_unweighted,0.0001277769624721259
387,4,>325km,v,blur_sigma0.5,melr,-1.978709224204067e-05
387,4,>325km,v,blur_sigma0.5,swd,0.0005375823238864541
387,0,6-25km,u,blur_sigma1,freq_l1,0.10639393329620361
387,0,6-25km,u,blur_sigma1,freq_l1_unweighted,0.20648792386054993
387,0,6-25km,u,blur_sigma1,melr,-0.17634636163711548
387,0,6-25km,u,blur_sigma1,swd,0.11276158690452576
387,0,6-25km,v,blur_sigma1,freq_l1,0.1869429349899292
387,0,6-25km,v,blur_sigma1,freq_l1_unweighted,0.43986767530441284
387,0,6-25km,v,blur_sigma1,melr,-0.3433076739311218
387,0,6-25km,v,blur_sigma1,swd,0.28224390745162964
